,Absorption Coefficient Listing,,Absorption Coefficients,,,,,,
Surface Type,Code,Description,125 Hz,250 Hz,500 Hz,1k Hz,2k Hz,4k Hz,
Ceilings,,Air,0.003,0.003,0.003,0.003,0.003,0.003,per m cube
Ceilings,0,No element selected,0,0,0,0,0,0,
Ceilings,1,Ceilings - Plaster on solid,0.04,0.04,0.05,0.04,0.05,,
Ceilings,2,Ceilings - Plaster on lath (Large a/s),0.15,0.1,0.06,0.04,0.05,,
Ceilings,3,Ceilings - Plaster on lath (small a/s),0.08,0.05,0.05,0.04,0.04,,
Ceilings,4,Ceilings - Concrete,0.02,0.02,0.03,0.03,0.04,,
Ceilings,5,Ceilings - Window - up to 4mm glass,0.2,0.1,0.08,0.05,0.05,,
Ceilings,6,Ceilings - Window - more than 6mm glass,0.07,0.04,0.02,0.02,0.02,,
Ceilings,7,Ceilings - Glazed tile or marble,0.02,0.02,0.02,0.02,0.02,,
Ceilings,8,Ceilings - Suspended acoustic tile (good),0.5,0.65,0.8,0.75,0.7,,
Ceilings,9,Ceilings - Suspended acoustic tile (poor),0.3,0.4,0.45,0.45,0.4,,
Ceilings,10,Ceilings - TAP Acoustimetal (tissue faced),1,0.7,0.85,0.9,0.8,,
Ceilings,11,Ceilings - TAP Acoustimetal (encapsulated),0.8,0.8,0.8,0.8,0.75,,
Ceilings,12,Ceilings - TAP Solitude needle perf,0.55,0.65,0.8,0.75,0.6,,
Ceilings,13,Ceilings - TAP Solitude fine fissured,0.6,0.6,0.65,0.7,0.65,,
Ceilings,14,Ceilings - TAP Solitude fissured,0.55,0.65,0.8,0.9,0.95,,
Ceilings,15,Ceilings - TAP Solitude 50mm rippled,0.5,0.5,0.5,0.55,0.6,,
Ceilings,16,Ceilings - OWA needle perforated,0.55,0.68,0.77,0.86,0.8,,
Ceilings,17,Ceilings - Armstrong Galaxie,0.29,0.49,0.68,0.87,0.91,,
Ceilings,18,Ceilings - Armstrong Supralook Finesse,0.19,0.42,0.57,0.73,0.86,,
Ceilings,19,Ceilings - Armstrong Microlook Parallel,0.17,0.28,0.35,0.53,0.57,,
Ceilings,20,Ceilings - Armstrong Microlook Image,0.17,0.21,0.22,0.34,0.47,,
Ceilings,21,Ceilings - Armstrong Microlook Format,0.26,0.38,0.45,0.58,0.57,,
Ceilings,22,Ceilings - Armstrong Microlook Reseau,0.23,0.34,0.39,0.52,0.56,,
Ceilings,23,Ceilings - Armstrong Microlook Disc,0.23,0.39,0.49,0.61,0.68,,
Ceilings,24,Ceilings - Armstrong Microlook Gleis,0.18,0.21,0.19,0.32,0.51,,
Ceilings,25,Ceilings - Armstrong Microlook Dune,0.11,0.1,0.07,0.17,0.27,,
Ceilings,26,Ceilings - Armstrong Perspective Munster,0.24,0.35,0.45,0.59,0.84,,
Ceilings,27,Ceilings - Armstrong Perspective Venezia,0.24,0.35,0.45,0.59,0.84,,
Ceilings,28,Ceilings - Armstrong 2nd look Cortega,0.28,0.4,0.56,0.74,0.95,,
Ceilings,29,Ceilings - Armstrong 2nd look Textured,0.29,0.33,0.5,0.69,0.82,,
Ceilings,30,Ceilings - Armstrong 2nd look Sanserra,0.44,0.54,0.72,0.89,1,,
Ceilings,31,Ceilings - Armstrong Minalok Fissured,0.2,0.39,0.54,0.68,0.76,,
Ceilings,32,Ceilings - Armstrong Minalok Cortega,0.28,0.4,0.56,0.74,0.95,,
Ceilings,33,Ceilings - Armstrong Minalok Minatex,0.29,0.33,0.5,0.69,0.82,,
Ceilings,34,Ceilings - Armstrong Ceramaguard,0.28,0.46,0.71,0.86,0.93,,
Ceilings,35,Ceilings - Armstrong Armatuft,0.37,0.66,0.68,0.61,0.55,,
Ceilings,36,Ceilings - Armstrong ML board perforated,0.24,0.39,0.57,0.65,0.67,,
Ceilings,37,Ceilings - Armstrong Travertone Sanserra,0.44,0.54,0.72,0.89,1,,
Ceilings,38,Ceilings - Armstrong Travertone Highspire,0.5,0.59,0.8,0.94,1,,
Ceilings,39,Ceilings - Armstrong Soft look,0.47,0.53,0.83,0.86,0.85,,
Ceilings,40,Ceilings - Armstrong Soundsoak,0.37,0.62,0.7,0.71,0.68,,
Ceilings,41,Ceilings - Armstrong Minaboard Adria,0.24,0.29,0.46,0.58,0.66,,
Ceilings,42,Ceilings - Armstrong Minaboard Alpina,0.27,0.43,0.49,0.55,0.47,,
Ceilings,43,Ceilings - Ecophon Gedina T,0.9,0.99,0.9,0.99,0.95,,
Ceilings,44,Ceilings - Ecophon Gedina Festival,0.8,0.9,0.85,0.9,0.8,,
Ceilings,45,Ceilings - Ecophon Gedina Bas,0.45,0.45,0.3,0.15,0.08,,
Ceilings,46,Ceilings - Ecophon Focus T,0.75,0.85,0.9,0.9,0.8,,
Ceilings,47,Ceilings - Ecophon Focus Festival,0.65,0.65,0.75,0.75,0.6,,
Ceilings,48,Ceilings - Ecophon Focus Bas,0.35,0.25,0.35,0.15,0.15,,
Ceilings,49,Ceilings - Ecophon Corridor T,0.85,0.95,0.9,0.95,0.9,,
Ceilings,50,Ceilings - Ecophon Corridor Festival,0.7,0.75,0.8,0.8,0.7,,
Ceilings,51,Ceilings - Ecophon Corridor Sabin/Amigo/Colora,0.85,0.95,0.9,0.95,0.9,,
Ceilings,52,Ceilings - Ecophon 40mm Piazza T,0.85,0.99,0.99,0.99,0.99,,
Ceilings,53,Ceilings - Ecophon 4omm Piazza Festival,0.85,0.95,0.9,0.9,0.75,,
Ceilings,54,Ceilings - Ecophon 40mm Hygiene,0.85,0.99,0.99,0.99,0.99,,
Ceilings,55,Ceilings - Ecophon 40mm Hygiene sealed,0.75,0.85,0.85,0.95,0.85,,
Ceilings,56,Ceilings - Ecophon 200mm Hygiene,0.8,0.8,0.85,0.9,0.8,,
Ceilings,57,Ceilings - Ecophon Focus RT,0.4,0.7,0.9,0.95,0.85,,
Ceilings,58,"Ceilings - Ecophon metal perforated, bagged",0.6,0.7,0.65,0.75,0.65,,
Ceilings,59,Ceilings - Treetex Vistacel - open cells,0.14,0.44,0.81,0.98,0.83,,
Ceilings,60,Ceilings - Treetex Vistacel cells and pads,0.3,0.46,0.8,0.99,0.94,,
Ceilings,61,Ceilings - Treetex Vistacel cells & 200mm m/w,0.9,0.92,0.99,0.99,0.9,,
Ceilings,62,Ceilings - Acoustic plaster on lath (big a/s),0.2,0.2,0.27,0.35,0.35,,
Ceilings,63,Ceilings - Acoustic plaster on solid,0.15,0.2,0.25,0.3,0.35,,
Ceilings,64,Ceilings - 12mm ply on 50 a/s on solid,0.2,0.15,0.1,0.1,0.1,,
Ceilings,65,Ceilings - 9mm p/board each side of 50 studs,0.15,0.1,0.05,0.04,0.05,,
Ceilings,66,Ceilings - 9mm p/board on 25 a/s on solid,0.15,0.1,0.05,0.04,0.05,,
Ceilings,67,Ceilings - 9mm p/board on 25 a/s + m/wool,0.2,0.15,0.1,0.1,0.08,,
Ceilings,68,Ceilings - 25mm m/wool on solid,0.35,0.7,0.85,0.9,0.9,,
